ref,bom_id,value,description,board_region,assembly_status,schematic_symbol_strategy,footprint_field,mechanical_package,body_size_mm,freeze_status,footprint_status,not_for_fab_required,3d_model_status,source_document,source_page,gate_or_next_action
U1,C001,RK3576,"Main SoC — 8-core, 6 TOPS NPU, ISP, MIPI CSI, H.264/265. Demand-started compute island (NOT always-on). Functional block: interface pins only.",R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_FCCSP698L_16x17,"FCCSP698L, 0.6 mm pitch",16.1 x 17.2 x TBD mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,RK3576 Brief Datasheet file,pp. 1-3,G01 (RK3576 datasheet/HDG/ballmap/DDR guide)
U2,C002,RK806S-5,SoC PMIC — generates CPU/GPU/NPU/DDR/IO rails + power sequencing for RK3576. Reuse verified RK3576 power architecture; NOT for AON.,R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_QFN,TBD QFN/BGA variant,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G03 (RK806S MPN/inductors/caps/timing per Radxa/Rockchip FAE)
U3,C003,LPDDR4X 4GB (MPN TBD),"System memory — 4 GB LPDDR4X x32, placed adjacent to RK3576. Reuse a Rockchip/Radxa-verified MPN to lower first chip-down risk vs LPDDR5.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_BGA,TBD BGA,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"G02 (LPDDR4X MPN/topology/placement, DDR review + length report)"
U4,C004,eMMC 5.1 32GB (MPN TBD),"System storage — 32 GB eMMC 5.1 (HS200/HS400 per BSP). Small + reliable; no microSD. Holds OS, models, event clips.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_BGA153,BGA153 candidate,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G04 (eMMC MPN + BSP/bootloader; cold-boot + power-loss recovery)
Y1,C005,24 MHz 10 ppm XTAL,"Main clock — 24 MHz, 10 ppm; load per Rockchip reference layout.",R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:Crystal_SMD_3225,3225 or smaller,3.2 x 2.5 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G01 (reuse reference CL/ESR + placement distance per HDG)
U5,C006,MX25U6432F,Backup boot flash — 64 Mbit 1.8 V serial NOR on FSPI. Reserved for recovery / factory test / alt-boot; not populated on first EVT.,R-Temple Compute Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:USON-8,USON/XSON/SOP option,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Boot flow decides whether production needs it
U6,C007,TPS61088,"Main SoC 5 V boost — 1S -> SOC_5V for the compute island. High-current sync boost; EN from nRF54L15, PG back to nRF. Candidate/HOLD until peak measured.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VQFN-22_4.5x3.5,VQFN-22 4.5 x 3.5 mm,4.5 x 3.5 x TBD mm,HOLD,candidate; verify official drawing/land pattern/height before layout,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"G06/G09 (measured RK3576 boot+AI peak, soft-start, droop, thermal)"
L1,C008,Boost inductor (TBD),"Boost inductor for TPS61088 — low-DCR shielded, value per TPS61088 design. Do not freeze before transient sim/measurement.",R-Temple Compute Board,TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_L_5x5,target <=5 x 5 x 2 mm,5.0 x 5.0 x 2.0 mm,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G06/G13 (Isat covers boot+AI peak; height <=2mm; thermal)
U11,C015,FCU760KAAMD,"Wi-Fi 6 + BT 5.4 module — Quectel FCU760K, LCC 13.0x12.2x2.0mm. USB2 to RK3576 host; PCM for BT audio; VBAT 3.0-3.6V (typ 3.3V), max TX 353 mA. On-demand, load-switched off.",R-Temple Compute Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_LCC_13x12.2_Quectel,LCC module,13.0 x 12.2 x 2.0 mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Quectel FCU760K Short Specification,pp. 1-3,G05 (Quectel HW Design + RK3576 BSP driver/firmware/enum) + official LCC land pattern
U12,C016,TPS62825,Wi-Fi dedicated 3.3 V buck — feeds FCU760K VBAT; >=500 mA capability for the 353 mA TX peak (pack note). EN by AON MCU. Avoids routing the radio through 5 V (Phase-3 rule).,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:QFN_1.5x1.5,QFN 1.5 x 1.5 mm,1.5 x 1.5 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G05/G06 (inductor/caps per module 353mA TX peak + ripple)
L2,C016c,Wi-Fi buck inductor (TBD),"Wi-Fi buck inductor — SW->3V3, value per TPS62825 design.",R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_L_2x2,target 2 x 2 mm class,2.0 x 2.0 x TBD mm,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Per TPS62825 peak+ripple
U13,C016b,TPS22917DBVR,Wi-Fi load switch — gates WIFI_3V3 -> FCU760K VBAT with QOD + reverse block. EN by AON MCU.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Package_TO_SOT_SMD:SOT-23-5,Package_TO_SOT_SMD:SOT-23-5,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,G05 (turn-on sequence w/ module)
C1,C015-C,47uF 6.3V X5R,FCU760K VBAT bulk storage — 47 uF local reservoir next to the module (pack: 47uF + 1uF + 100nF). Rides the 353 mA TX burst.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:C_0805,AI_Glasses_V2:C_0805,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Local bulk per Quectel HW Design
RT3,C043,10k NTC B=3435,SoC/enclosure temp monitor — 10k NTC on SoC heat-spreader + skin side. Wearable must watch both die and skin temp.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0402,AI_Glasses_V2:R_0402,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Probe position per thermal sim
U7,C009,nRF54L15-QFN48,"Low-power BLE MCU — ALWAYS ON. Owns the system state machine; controls RK3576/camera/Wi-Fi/audio power ENs; talks IMU/buttons/gauge; UART to RK3576, SPI to NDP120. Turns RK3576 from an always-on host into a demand accelerator.",L-Temple AON/Power Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:QFN-48_6x6,"QFN48, 0.4 mm pitch",6.0 x 6.0 x 0.85 mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,EVT-frozen (RF layout/SDK/package to freeze early)
U8,C010,nPM1300,AON PMIC — 1S charger + Power-Path + Fuel Gauge + dual Buck + LDO/Load-Switch + Ship/Hibernate. Powers the small AON world ONLY; NOT the RK3576 peak path.,L-Temple AON/Power Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:QFN_5x5,QFN32 5 x 5 mm EVT candidate,5.0 x 5.0 x TBD mm,HOLD,candidate; verify official drawing/land pattern/height before layout,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G08 (AON <=25/50mW) — configure via nPM PowerUP on EK before board
U9,C011,NDP120,Always-on Audio DSP — ultra-low-power wake-word + audio front-end; wakes the MCU over GPIO. Moves voice listening off RK3576. Keep bypass + DNP capability.,L-Temple AON/Power Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_QFN_5x5,"5 x 5 mm 40-pin QFN, 0.4 mm pitch; WLBGA also exists",5.0 x 5.0 x TBD mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Syntiant NDP120 Product Brief,pp. 1-2,Full datasheet + dev kit + measured listening power + NDA/licensing
U10,C012,BMI270,6-axis IMU — low-power motion detect; motion-interrupt wakes the MCU. Cycling/running state ID for wearables.,L-Temple AON/Power Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Package_LGA:LGA-14_2.5x3mm_P0.5mm,LGA-14,2.5 x 3.0 x 0.8 mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Evaluate false-trigger under real frame vibration
J6,C018,BLE 2.4 GHz FPC/PCB ant,"BLE antenna — 50 ohm, always-on. Physically separate from the Wi-Fi antenna.",Temple Rears (batt/spkr/ant),TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_ANT,custom antenna/keep-out,TBD,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Worn-state tuning; clear of battery/metal
J7,C017,Wi-Fi 2.4/5 GHz FPC ant,"Wi-Fi dual-band antenna — 50 ohm, worn-state tuned. Away from SoC/battery/speaker magnet/hinge.",Temple Rears (batt/spkr/ant),TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_ANT,custom antenna/keep-out,TBD,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Head-loaded RSSI/throughput/SAR; keep-out
U14,C019,IMX415-AAQR module (custom FPC),"Main camera module — 8.46 MP, first target 1080p30/60, MIPI CSI. Custom small sensor+lens rigid island + FPC (NOT the dev module). Sensor rails (Sony datasheet): AVDD 2.9V 128/156mA, IOVDD 1.8V 3mA, DVDD 1.1V 187/250mA (~0.58W typ, ~0.77W max).",Front Sensor Board,HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_CAM_MODULE,custom sensor+lens+FPC module,TBD,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Sony IMX415-AAQR-C Datasheet E19504,"pp. 1, 3, 97",G10 (module lens/FOV/FPC pinout/lane/supply/timing from vendor)
U15,C020,TPS62840,"Camera DVDD 1.1 V buck — ultra-low-Iq (~60 nA) buck for the sensor core (DVDD 187/250mA), up to ~750 mA. EN by AON MCU / SoC. True power-down when camera off.",Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_WSON,WSON/VSON/DSBGA variant TBD,TBD,PROVISIONAL,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Output current/noise per final module (DVDD ~250mA max + margin)
L3,C020b,Cam 1V1 buck inductor (TBD),Camera 1.1 V buck inductor — SW->1V1.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_L_1.6x0.8,target 1.6 x 0.8 mm class,1.6 x 0.8 x TBD mm,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Per TPS62840 design
U16,C021,TLV75529PDRVR,"Camera AVDD 2.9 V LDO — 500 mA low-noise analog supply (AVDD 128/156mA). Low-noise LDO, NOT a series resistor off 3.3V (pack §23).",Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:WSON-6_2x2,WSON-6 2 x 2 mm,2.0 x 2.0 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Verify vs IMX415 AVDD peak (156mA) + PSRR
U17,C022,TPS22917DBVR,Camera IOVDD 1.8 V load switch / isolation — low-leak switch from AON_1V8 for camera I/O (IOVDD ~3mA); Quick-Output-Discharge kills reverse feed when camera off (§24).,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Package_TO_SOT_SMD:SOT-23-5,SOT-23-5,2.9 x 2.8 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,"Check reverse block, ramp, QOD, logic level"
U18,C023a,TPD4E05U06,MIPI/FPC ESD (clk + D0) — ultra-low-cap 4-ch ESD at the FPC entry.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:USON,USON low-cap array,2.5 x 1.0 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Low-cap array near FPC entry
U19,C023b,TPD4E05U06,MIPI/FPC ESD (D1 + control) — ultra-low-cap ESD for the second lane pair.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:USON,USON low-cap array,2.5 x 1.0 x TBD mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Low-cap array near FPC entry
MK1,C013a,T5837 (wake mic),PDM wake mic — dedicated always-on wake channel into NDP120 (AON audio domain). Deep Off must capture without RK3576.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:LGA-5_3.5x2.65,bottom-port LGA-5,3.5 x 2.65 x 0.98 mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G11 (mic coords/ports/wind/wake + AEC/beamforming)
MK2,C013b,T5837 (array mic 1),PDM array mic 1 — into RK3576 PDM for beamforming during vision/voice tasks.,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:LGA-5_3.5x2.65,bottom-port LGA-5,3.5 x 2.65 x 0.98 mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G11
MK3,C013c,T5837 (array mic 2),PDM array mic 2 — second array channel (L/R stereo on shared PDM clock).,Front Sensor Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:LGA-5_3.5x2.65,bottom-port LGA-5,3.5 x 2.65 x 0.98 mm,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,G11
MK4,C014,T5837 (4th mic),"4th array mic — footprint only; on the switchable AON_LSW2 rail (nPM1300 load switch, §14 'spare mic') so it can be fully powered down. Not populated until array/wind tests.",Front Sensor Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:LGA-5_3.5x2.65,AI_Glasses_V2:LGA-5_3.5x2.65,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,G11 (populate only if array sim/proto needs it)
U20,C024,MAX98360A,"Digital Class-D amp — I2S in, mono, low-power shutdown. Direct digital audio chain, no analog codec. Fully power-downable via load switch.",R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_WLP_QFN,WLP or FC2QFN version TBD,TBD,PROVISIONAL,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,AI Glasses Hardware Dimensions V2.3,pp. 1-10,Verify Z/cavity/EMI/peak power
U21,C024b,TPS22917DBVR,Audio load switch — gates AUDIO_PWR to the amp; EN by AON MCU / SoC.,R-Temple Compute Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Package_TO_SOT_SMD:SOT-23-5,Package_TO_SOT_SMD:SOT-23-5,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Amp must be fully power-downable (V1 lesson)
LS1,C025,8 ohm 0.5-1 W speaker,Main speaker — first version single speaker; open acoustic unit set by temple cavity.,Temple Rears (batt/spkr/ant),TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_SPK,speaker/cavity TBD,TBD,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,MPN after acoustic cavity/volume/leak test
LS2,C026,2nd speaker pad,Second speaker land — reserved for productization; not populated first version.,Temple Rears (batt/spkr/ant),DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_SPK,AI_Glasses_V2:VERIFY_SPK,TBD,DNP,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Decide dual-speaker at EVT-B
U22,C027,DRV2605L,"Haptic driver — LRA/ERM driver, I2C, waveform library. Silent safety reminder path.",L-Temple AON/Power Board,DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,Package_SO:MSOP-10_3x3mm_P0.5mm,Package_SO:MSOP-10_3x3mm_P0.5mm,TBD,DNP,DNP; do not treat as release BOM,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Vibration P1 — may DNP on first board (IMU/mic coupling)
M1,C028,LRA/ERM motor,LRA/ERM motor — short haptic alerts; can be replaced by phone vibration first version.,Temple Rears (batt/spkr/ant),DNP,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_LRA,AI_Glasses_V2:VERIFY_LRA,TBD,DNP,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Vibration P1
BT1,C029,LP451165 300mAh (R),"Right cell — 3.7 V 300 mAh, 4.5x11x65 mm, high-rate custom. Right-temple weight.",Temple Rears (batt/spkr/ant),HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_CELL_4.5x11x65,pouch cell with tabs/NTC/pack options,70.0 x 12.8 x 5.6 mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,LP451165 Battery Bay Fit Check,dimensions.csv + fit-check md,"G07 (full datasheet, >=2C, IR, cycles, cert)"
BT2,C030,LP451165 300mAh (L),"Left cell — same batch/capacity/IR-matched to the right cell. Left-temple weight. 1S2P parallel only after supplier pairing (OCV<=20mV, cap<=3%, DCIR<=10%, same lot, §20).",Temple Rears (batt/spkr/ant),HOLD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_CELL_70x12.8x5.6_maxenv,pouch cell with tabs/NTC/pack options,70.0 x 12.8 x 5.6 mm,HOLD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,LP451165 Battery Bay Fit Check,dimensions.csv + fit-check md,G07
F1,C031a,PTC/fuse (R branch),Right branch protection — resettable PTC / fusible link in the right cell branch. Limits a single-cell / FPC short (§7).,Temple Rears (batt/spkr/ant),TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_FUSE,AI_Glasses_V2:VERIFY_FUSE,TBD,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,"Rating from peak-current calc (> branch peak, < FPC rating)"
F2,C031b,PTC/fuse (L branch),Left branch protection — resettable PTC / fusible link in the left cell branch.,Temple Rears (batt/spkr/ant),TBD,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:VERIFY_FUSE,AI_Glasses_V2:VERIFY_FUSE,TBD,TBD,NOT_FOR_FAB placeholder; not release-ready,YES,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Rating from peak-current calc
RS2,C044-RCL,10 mohm 1%,Left branch shunt — BATL_F -> BAT_P; I_CELL_L for current-share monitoring.,Temple Rears (batt/spkr/ant),Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0805_shunt,AI_Glasses_V2:R_0805_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Branch current-share (§7/§29)
RS3,C044-RCR,10 mohm 1%,Right branch shunt — BATR_F -> BAT_P; I_CELL_R for current-share monitoring.,Temple Rears (batt/spkr/ant),Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_0805_shunt,AI_Glasses_V2:R_0805_shunt,TBD,Fit,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,Branch current-share (§7/§29)
RS1,C044-RBAT,10 mohm 1% 1W,Pack total shunt — BAT_P -> nPM1300 VBAT. Whole-device current (charge + discharge).,L-Temple AON/Power Board,Fit,generated functional block symbol from chipdown_bom.py; not a vendor pin-level symbol unless gate says frozen,AI_Glasses_V2:R_1206_shunt,1206 shunt candidate,TBD,PROVISIONAL,candidate; verify official drawing/land pattern/height before layout,CHECK,HOLD/TBD; no verified aligned STEP in V2 KiCad,Current V2 generated schematic/BOM master,scripts/chipdown_bom.py,I_BAT_TOTAL; the one production-kept sense path
